Name,PROMPT,FUNNEL LOCATION,EXAMPLE
16. Off-site recap post,You recently had an off-site in [location]. What were the biggest learnings that came out of the event? Did anything surprise you? How do you think about running a productive off-site?,TOFU,https://www.linkedin.com/posts/rishabhmjain_i-had-a-major-realization-seeing-ferm%C3%A0ts-activity-7204561582473834496-BEm-?utm_source=share&utm_medium=member_desktop
17. ICP Mistakes Listicle,What are the top 3-5 mistakes that keep [ICP] from [ideal outcome]?,TOFU,https://www.linkedin.com/posts/tclarkmedia_every-b2b-saas-ceo-right-now-says-they-want-activity-7195793626273128448-KanJ?utm_source=share&utm_medium=member_desktop
18. ICP tech stack curation,Run me through all the tech and tools a [ICP] needs in their tech stack.,BOFU,https://www.linkedin.com/posts/jnpayne_heres-the-full-list-and-monthly-cost-of-activity-7193297552664850432-UFe8?utm_source=share&utm_medium=member_desktop
19. Difficult customer/client narrative post (MOFU),Tell me about a time when you had a difficult customer and made it work. Bonus points if we can find an example where you or your team went above and beyond for the customer. How did this experience influence the way you run [company] now?,MOFU,TBD
20. Difficult customer/client narrative post (BOFU),Tell me about a time when you had a difficult customer and made it work. Bonus points if we can find an example where you or your team went above and beyond for the customer. Tie this narrative into a specific product feature you built (more bottom of funnel than the previous prompt).,BOFU,TBD
21. Outstanding Hire Highlight,"Tell me about one hire you've made at [company] who has blown away your expectations. What are the characteristics that make them a strong hire and culture fit for [company]? Give me an example of these traist in action (bonus points if you have specififc, quantifiable data).",TOFU,https://www.linkedin.com/posts/todd-busler_in-4-months-our-sdr-will-falkenborg-booked-activity-7213998370145665024-KhIp?utm_source=share&utm_medium=member_desktop
22.  ICP mistake/myth (single item),"What's one mistake or myth that keeps [ICP] from [achieving ideal outcome]? What should they do instead? Please give me a specific example or anecdote that exemplifies this. Ideally, we want to tie this to a pain point or issue that [company] solves, without the post feeling 'salesy.’",MOFU,https://www.linkedin.com/posts/tclarkmedia_every-early-stage-saas-ceo-i-talk-to-lately-activity-7216796384694349824-xPk9?utm_source=share&utm_medium=member_desktop
23. ICP-related template,"During your time as [ICP], what was one template or framework you found yourself relying on? Walk me through the components of it. Bonus points if you have any examples or quantifiable data from this working well for you.",MOFU,https://www.linkedin.com/posts/tclarkmedia_early-stage-saas-marketers-want-to-get-your-activity-7216435204561752064-lPXA?utm_source=share&utm_medium=member_desktop
24. Sales Calls Trends,You're on a lot of sales calls and networking calls with [ICP]. What is a trend you've heard over the past 2-3 weeks that has caught your attention? This could be something that excites you or something that concerns you.,MOFU,https://www.linkedin.com/posts/todd-busler_over-the-last-2-months-ive-sat-down-with-activity-7216859445400666113-YAwY?utm_source=share&utm_medium=member_desktop
25. Underrated Feature Highlight,What's one thing you wish more people knew about [product]? Any anecdotes or case studies we can cite in this post that would make it more compelling?,BOFU,https://www.linkedin.com/posts/shreyaskumar92_big-announcement-new-product-additions-activity-7211737542985961472-GmVZ?utm_source=share&utm_medium=member_desktop
26. Lightbulb Moment Narrative,What made you decide to take the jump from [previous role] to starting your own business? At what point did you know you were ‘ready?’,TOFU,https://www.linkedin.com/posts/austin-t-hughes_after-hypergrowth-at-ramp-for-nearly-3-years-activity-7188978068613480448-Xfup?utm_source=share&utm_medium=member_desktop
27. Industry Predictions (listicle),What do you think the [ICP] role will look like in [category] in the year 2030? Give me at least 3 specific predictions (each will be its own post).,MOFU,https://www.linkedin.com/posts/rishabhmjain_i-think-there-will-be-2-significant-changes-activity-7193280564676685824-E9Xz/?utm_source=share&utm_medium=member_desktop
28. Industry Predictions (single item),"Take one of the items from prompt 27 (or a new one) and expand on it into a single post. Bonus points if you have a narrative, or data, to back up the prediction.",MOFU,https://www.linkedin.com/posts/austin-t-hughes_outbound-isnt-dying-but-the-50000year-activity-7216469835377954817-UPVU/?utm_source=share&utm_medium=member_desktop
29. Right VS Wrong Way,What is the right way to [industry-related task]? What is the wrong way to [industry-related task]? Contrasting the two in a post tends to do well.,MOFU,https://www.linkedin.com/posts/tclarkmedia_content-repurposing-is-one-of-the-most-misunderstood-ugcPost-7143985346404319232-Wrhj?utm_source=share&utm_medium=member_desktop
30. Trend-jacking,What [category] news has caught your attention lately? Is there a new release or development that [ICP] should be aware of? What is your take on this?,MOFU,https://www.linkedin.com/posts/codywittick_an-influencer-partnership-between-deion-sanders-activity-7112544664586489856-kFaO?utm_source=share&utm_medium=member_desktop
31. Overcoming Common Objection,What's one objection you've been getting from prospects lately? Can you tell me about a customer story or any data that overcomes this objective? We want to create a narrative post that overcomes this objection.,MOFU,https://www.linkedin.com/posts/retentionadam_i-hear-this-twice-a-week-we-had-rb2b-installed-activity-7211469403236839424-j3oS/?utm_source=share&utm_medium=member_desktop
32. Changing Industry Opinion,What's one idea in [category] that you've changed your mind on in the past 12 months? Why? Can you give me a story or anecdote that exemplifies this?,MOFU,https://www.linkedin.com/posts/tclarkmedia_a-lot-of-b2b-marketers-tell-you-not-to-shill-activity-7217165429851443200-IMbi?utm_source=share&utm_medium=member_desktop
33. ICP Framework,What's your favorite framework for [ICP-related task]? What are the steps to execute this? Can you give me an example of a time (or times) you've executed this in a previous position? The goal here is to make this post value-dense so someone in your ICP will either share it or bookmark it.,MOFU,https://www.linkedin.com/posts/davegerhardt_this-is-my-favorite-b2b-marketing-strategy-activity-7212771794917744640-AG3R/?utm_source=share&utm_medium=member_desktop
34. Personal Interest Post,"Tell me about an interest or hobby you have outside of company-building. This could be endurance sports, playing a musical instrument, etc. It can be a lifelong pursuit or something you've picked up more recently. How has that impacted you as a founder?",TOFU,https://www.linkedin.com/posts/jnpayne_completing-an-ironman-changed-my-life-in-activity-7186404761653399552-zdjN/?utm_source=share&utm_medium=member_desktop
35. Industry Resources Curation,What are your favorite resources for staying up-to-date in [category]? Give me a quick blurb on why you like each one. We want to make this a list of 5-10 resources. Tagging the creators will also help to increase distribution of the post.,MOFU,https://www.linkedin.com/posts/austin-t-hughes_theres-a-lot-of-talk-about-how-founder-led-activity-7173354397635215360-DN9C?utm_source=share&utm_medium=member_desktop
36. Industry Lies,What are the 7 biggest lies told about [category] on LinkedIn? Think about talking points that you see come up over and over that drive you nuts. Bonus points if you can provide any examples or anecdotes.,MOFU,https://www.linkedin.com/posts/todd-busler_here-are-the-7-biggest-lies-told-about-sales-activity-7216539363575242754-Y1Aq/?utm_source=share&utm_medium=member_desktop
36. Core Category Beliefs,"What are 5 core beliefs you have about [category]? Can you give me a quick blurb on why you believe each one? Bonus points if you have specific examples, data, or anecdotes that exemplify this.",MOFU,https://www.linkedin.com/posts/tclarkmedia_an-unfortunate-amount-of-b2b-social-media-activity-7139992621707378688-HTef?utm_source=share&utm_medium=member_desktop
37. Asked For Advice,What are the top 5-10 pieces of advice you find yourself giving to [ICP]? The goal is to turn this into a listicle with a story-based hook along the lines of “I was asked for advice on how to [do ICP-related task]…”,MOFU,https://www.linkedin.com/posts/tclarkmedia_one-of-our-content-writers-at-compound-content-activity-7219358496171933696-nwhN/?utm_source=share&utm_medium=member_desktop
38. Product Pillars,What are 2-3 guiding principles that influence the way you’ve built [PRODUCT]? Where did you learn these? Can you tell me about a specific story in which the principles influenced a product decision?,BOFU,https://www.linkedin.com/posts/austin-t-hughes_building-a-generational-company-take-more-activity-7216821852868894721-aVuc/?utm_source=share&utm_medium=member_desktop
39. Overrated Industry Advice,What’s the most overrated piece of [CATEGORY] advice you’ve heard of lately? What’s your actual belief?,MOFU,https://www.linkedin.com/posts/austin-t-hughes_this-post-is-a-bit-ironic-im-about-to-activity-7211754487772762112-Mht3/?utm_source=share&utm_medium=member_desktop
40. Easy Wins Post,What are the most common reasons [ICP] would refuse to do [product-related action]? What are 1-3 easy wins you can give them in a LinkedIn post? This will help you build trust with your ICP and get them moving in a direction towards a buying decision. Sort of a variation of an ‘overcoming objections’ post.,MOFU,https://www.linkedin.com/posts/tclarkmedia_i-talk-to-countless-seed-stage-and-series-ugcPost-7213653657865633794-Szv4?utm_source=share&utm_medium=member_desktop
41. Best Customer Characteristics,"What are 1-3 characteristics of your best customers? Do you have any stories or anecdotes that would exemplify this? The goal is to use this post as a magnet for your best customers, and repel those who aren’t a good fit.",BOFU,https://www.linkedin.com/posts/tclarkmedia_saas-startups-that-win-with-content-have-activity-7212890105328361473-Dvwk?utm_source=share&utm_medium=member_desktop
42. VC vs Bootstrapping (Your Decision),"Why did you decide to raise venture capital? How did you pick the right investors to work with? If you're bootstrapped, why didn’t you raise VC? Was this always a direction you wanted to follow?",TOFU,https://www.linkedin.com/posts/retentionadam_i-bootstrapped-my-startup-to-22m-arr-in-activity-7195882240424259586-jwfd/
43. Customer Support Highlight,"Can you share an example of a customer review or Slack message that exemplifies the great CX they had with [product]? How do you think about providing a stellar CX at [company]? Preferably, include a screenshot of the review with this post.",BOFU,https://www.linkedin.com/posts/austin-t-hughes_we-pride-ourselves-in-stellar-customer-support-activity-7209219090027016195-_5ls?utm_source=share&utm_medium=member_desktop
44. Podcast Recap,"Tell me about one podcast you listened to recently (ideally one that’s industry-specific). What were your top 1-3 takeaways? If you don’t listen to podcasts, a newsletter or book can be used for the same style of post. Include a screenshot of the episode cover or a clip from the episode as the media asset.",MOFU,https://www.linkedin.com/posts/austin-t-hughes_just-finished-the-20vc-episode-with-harry-activity-7208864179309404161-zfuw?utm_source=share&utm_medium=member_desktop
45. Sales FAQ,What’s one of the most common questions you get asked on sales calls (or that your team gets asked) before prospects commit to signing up? What is your typical answer? Bonus points if you have specific anecdotes or data to back this up.,BOFU,https://www.linkedin.com/posts/tclarkmedia_ive-taken-25-discovery-calls-with-early-stage-activity-7205929409046847488-l0LW?utm_source=share&utm_medium=member_desktop
46. What’s working right now?,What are 1-5 trends you're seeing work well in [category]? Can you give specific examples or data to back this up? This is a good post format to cycle through once every 1-2 months. Great post format to use if you have access to a lot of industry data.,MOFU,https://www.linkedin.com/posts/tclarkmedia_whats-working-right-now-in-b2b-social-ugcPost-7199775637601935360-TSYx?utm_source=share&utm_medium=member_desktop
47. Dog-fooding,Do you use your own product? What are your biggest takeaways from your own experience? Bonus if you can position the post as hitting a milestone with your product (see https://www.linkedin.com/posts/tyler-denk_i-started-this-newsletter-in-january-to-build-activity-7201617643970117633-R0bk?utm_source=share&utm_medium=member_desktop).,BOFU,https://www.linkedin.com/posts/tyler-denk_i-started-this-newsletter-in-january-to-build-activity-7201617643970117633-R0bk?utm_source=share&utm_medium=member_desktop
48. Template Giveaway,Is there a template or document that you find yourself using often in your day-to-day as an [ICP]? What are the components of it? Do you have a story or anecdote of a time when you used it and it was a lifesaver? You can also give away the template as a lead magnet (see https://www.linkedin.com/posts/ben-sharf-b554a5b3_remote-work-is-killing-company-culture-but-activity-7216479710929666049-tTpD?utm_source=share&utm_medium=member_desktop).,MOFU,https://www.linkedin.com/posts/ben-sharf-b554a5b3_remote-work-is-killing-company-culture-but-activity-7216479710929666049-tTpD?utm_source=share&utm_medium=member_desktop
49. Hiring Traits,What’s one trait you look for in every new hire you make? Bonus points if this trait is unique to your company and something others might not agree with you on. Who’s one hire you’ve made that embodies this trait?,TOFU,https://www.linkedin.com/posts/ben-sharf-b554a5b3_ive-scaled-my-saas-startup-from-0-25-activity-7216110305318191104-1wQL?utm_source=share&utm_medium=member_desktop
50. Industry Event Recap,You attended [industry event] recently. What were your 3-5 biggest takeaways? Did you meet any people or have any conversations that stood out to you? Include pictures in this post!,MOFU,https://www.linkedin.com/posts/ben-sharf-b554a5b3_i-spent-this-past-weekend-in-toronto-for-activity-7212173368555429889-EttY?utm_source=share&utm_medium=member_desktop
51. What I Wish I Knew (Founder edition),What are 1-3 things you wish you knew before becoming a founder?,TOFU,https://www.linkedin.com/posts/chrismreynolds_one-lesson-i-wish-i-learned-before-becoming-activity-7219014536987578369-re9G?utm_source=share&utm_medium=member_desktop
52. Industry Deep Dive,Is there a company or event in your industry that has caught your attention lately? This is a great opportunity to do a deep dive and borrow some of their credibility to stop the scroll.,MOFU,https://www.linkedin.com/posts/rohitbhadange_vitamin-brand-careof-shut-down-last-week-activity-7210423384281628673-AFPy?utm_source=share&utm_medium=member_desktop
53. Industry Examples (Listicle),What are 5 companies in your industry that do [ICP activity] the right way? What do you love about their approach? We’ll turn this into a listicle style post for LinkedIn.,MOFU,https://www.linkedin.com/posts/aaronorendorff_5-cro-smashing-tactics-5-examples-on-how-activity-7217309130531725312-4oiH?utm_source=share&utm_medium=member_desktop
54. Industry Prediction,What’s one prediction you have about [category] in the next 1-5 years? 5-10+?,MOFU,https://www.linkedin.com/posts/ben-sharf-b554a5b3_hot-take-headless-e-commerce-days-are-numbered-activity-7227323885036204032-2lyw?utm_source=share&utm_medium=member_desktop
55. Team Growth,How has the grow of the team from X → XX over the past X months changed you as a founder? What are the key learnings?,TOFU,https://www.linkedin.com/posts/ben-sharf-b554a5b3_doubling-the-size-of-our-team-at-platter-activity-7226288383864578048-Ln6j?utm_source=share&utm_medium=member_desktop
56. Founder learnings,You’ve been building company for [timeframe]. What are the top 3-5 lessons you’ve learned over that time? Make these as specific and unique to your experience as possible. Bonus points if you have anecdotes that support these lessons.,TOFU,https://www.linkedin.com/posts/ben-sharf-b554a5b3_doubling-the-size-of-our-team-at-platter-activity-7226288383864578048-Ln6j?utm_source=share&utm_medium=member_desktop
57. Day-in-the-life,What does a typical day in the life look like for you as a founder? Run me through the hour by hour calendar.,TOFU,https://www.linkedin.com/posts/ben-sharf-b554a5b3_heres-a-day-in-the-life-of-a-nyc-startup-activity-7222621410915938304-Dylb?utm_source=share&utm_medium=member_desktop
58. Top 1% Characteristics,What do the top 1% of [ICP] do that the other 99% miss entirely?,MOFU,https://www.linkedin.com/posts/morganjingram_i-have-led-522-pipeline-generation-workshops-activity-7230184008381276160-0FHc?utm_source=share&utm_medium=member_desktop
59. Company Momentum Post,What’s one highlight or stat that you can share that shows [company]’s momentum? Bonus points if you have a team pic or other relevant image that can do with this,TOFU,https://www.linkedin.com/posts/austin-t-hughes_at-unify-we-beat-our-new-arr-record-for-activity-7230238249997230080-BdP0?utm_source=share&utm_medium=member_desktop
60. New Integration Announcement,Tell me about this new [XXXX] integration. What does it mean for customers? Why did you build it into [product]? Why launch it now?,BOFU,https://www.linkedin.com/posts/austin-t-hughes_huge-news-to-share-today-unifys-hubspot-activity-7224411749460926464-pDyP?utm_source=share&utm_medium=member_desktop
61. Co-Founder Origin Story,How did you meet you co-founder? What made you two a strong fit? Is there a specific anecdote or memory from the early days that highlights this?,TOFU,https://www.linkedin.com/posts/austin-t-hughes_unify-couldnt-exist-as-it-does-without-my-activity-7221538308315602945-DG3I?utm_source=share&utm_medium=member_desktop
62. Customer Highlight,"I don’t have a specific ‘question’ for this one. But, what you’ll want to do is find a customer on your roster and do a breakdown on a strategy of theirs that you love. The goal is for this to be middle-of-funnel, not a product pitch. See the example for more inspiration.",MOFU,https://www.linkedin.com/posts/jnpayne_big-mistake-i-see-dtc-founders-make-is-expanding-activity-7227704875055222787-FDea?utm_source=share&utm_medium=member_desktop
63. Founder Salary Thoughts,How do (or did) you approach paying yourself as a startup founder? What did the progression look like? This prompt tends to work best with second-time founders sharing their experience from the first company (so the information is not as sensitive).,TOFU,https://www.linkedin.com/posts/jnpayne_i-didnt-pay-myself-for-2-years-for-my-first-activity-7227338138065514497-vVhO?utm_source=share&utm_medium=member_desktop
64. 2nd Time Founder Evolution,(For 2nd time founders) What are you doing differently with [new company] that you  didn’t do with [first company]?,TOFU,https://www.linkedin.com/posts/jnpayne_what-im-doing-as-2nd-time-founder-and-father-activity-7188925282026729474-rXgO?utm_source=share&utm_medium=member_desktop
65. Remote Work Philosophy,"When building [company], why did you choose to go fully remote? How do you build culture in a remote company? Inverse this question if the company is in office.",TOFU,https://www.linkedin.com/posts/jnpayne_for-years-i-operated-under-the-assumption-activity-7208569763558518785-a88L?utm_source=share&utm_medium=member_desktop
66. Industry Job Curation,Compile a list of 10-15 roles in your category. Create a listicle post curating them. Tag the companies (and team members when relevant). These types of posts tend to get circulated a ton. You can make this a recurring (weekly or monthly) format.,MOFU,https://www.linkedin.com/posts/mathewschulz_here-you-go-15-procurement-jobs-that-are-activity-7230966193367494656-wqkb?utm_source=share&utm_medium=member_desktop
67. Workflow Walkthrough (fan favorite),Can you walk me through one of the more popular use cases of your product? Pair this with a Loom walkthrough that can be posted with the copy.,BOFU,https://www.linkedin.com/posts/mathewschulz_here-you-go-15-procurement-jobs-that-are-activity-7230966193367494656-wqkb?utm_source=share&utm_medium=member_desktop
68. Workflow Walkthrough (underrated),"Can you walk me through one of the more underrated cases of your product? Pair this with a Loom walkthrough that can be posted with the copy. Similar to the previous prompt, but this post should be more about highlighting a feature that doesn’t get much love.",BOFU,https://www.linkedin.com/posts/mathewschulz_here-you-go-15-procurement-jobs-that-are-activity-7230966193367494656-wqkb?utm_source=share&utm_medium=member_desktop
69. Hypothetical Scenario,How would you [achieve ICP ideal outcome] if you had to start from scratch?,MOFU,https://www.linkedin.com/posts/liamdunne05_heres-how-i-would-beat-a-conventional-sdr-activity-7137353655875178496-vAi2?utm_source=share&utm_medium=member_desktop
70. Customer Story [MOFU tactics],Tell me about a recent success story you’ve had with a customer. What were the learnings from it? What strategies and tactics did you use to get them this win? The angle for this post should be more ‘middle of funnel’ sharing strategies and tactics your ICP finds helpful.,MOFU,https://www.linkedin.com/posts/liamdunne05_b2bmarketing-saas-startup-activity-7222503012466905089-QKU6?utm_source=share&utm_medium=member_desktop
71. Challenge ICP Assumptions,What does [ICP] think they need to [achieve ideal outcome]? What do they actually need to [achieve ideal outcome]? ,MOFU,https://www.linkedin.com/posts/liamdunne05_b2bmarketing-saas-startup-activity-7222141040953049089-Rry5?utm_source=share&utm_medium=member_desktop
72. Industry Advice Listicle,What are your 5 best pieces of advice for ICP? Make these as tactical and unique to you as possible (avoid generic fluff).,MOFU,https://www.linkedin.com/posts/ankurnagpal_i-sold-my-first-startup-in-2020-for-a-life-activity-7223702637953646594-Ji3v?utm_source=share&utm_medium=member_desktop
73. Competition,How do you think about competition when building [company]? Do you pay attention to competitors at all? Why or why not?,TOFU,https://www.linkedin.com/posts/alinav_in-the-first-6-years-at-chili-piper-i-didn-activity-7224786009647947777-mRWk?utm_source=share&utm_medium=member_desktop
74. Industry Trend Observation,What’s one trend you're seeing in [category] right now? Bonus points if you can offer any anecdotes or data to support your observations here.,MOFU,https://www.linkedin.com/posts/fredrikthomassen_the-creative-agency-landscape-is-indeed-being-activity-7227694109698785280-5m20?utm_source=share&utm_medium=member_desktop
75. Conference Keynote Recap,Did you or a key team member speak at any conferences lately? What were the main takeaways of their talk? Include an image or video with this post.,MOFU,https://www.linkedin.com/posts/fredrikthomassen_this-week-our-creative-director-phillip-activity-7212537387451617280-b0_E?utm_source=share&utm_medium=member_desktop
76. Category Meme,"Create a simple meme highlighting a customer pain point. Memes are a great way to communicate ideas in a simple, shareable format.",MOFU,https://www.linkedin.com/posts/fredrikthomassen_integrating-ai-into-your-creative-workflow-activity-7206745431295406081-mUhW?utm_source=share&utm_medium=member_desktop
77. Outdated Practice,What’s one commonly done practice in [category] that you think should be done differently? Why?,MOFU,https://www.linkedin.com/posts/samfjacobs_revops-should-report-to-finance-every-department-activity-7224421299727601664-vsky?utm_source=share&utm_medium=member_desktop
78. Common Talking Point Commentary,"What’s one idea that a lot of [ICPs] talk about, but don’t understand completely? How should they really be thinking about it?",MOFU,https://www.linkedin.com/posts/samfjacobs_cmos-of-saas-companies-love-to-talk-about-activity-7224058911543226368-3G6s?utm_source=share&utm_medium=member_desktop
79. AI Predictions,How will AI impact [category]? What should be savviest [ICPs] do to prepare for this? How will the [ICP] role evolve as a result?,MOFU,https://www.linkedin.com/posts/austin-t-hughes_outbound-isnt-dying-but-the-50000year-activity-7216469835377954817-UPVU?utm_source=share&utm_medium=member_desktop
80. Warning Signs,What are 5-10 signs that [ICP] is set up for failure? How would you address this?,MOFU,https://www.linkedin.com/posts/samfjacobs_8-signs-you-might-be-out-of-gtm-alignment-activity-7222246972261306368-T_Um?utm_source=share&utm_medium=member_desktop
81. Building In Public,"Give me a quick update on some wins, learnings, etc from the past week building [company]. These could be new hires, new feature rollouts, new logos, etc. Sharing specific metrics and examples tends to make these posts work better. Also, include an image.",TOFU,https://www.linkedin.com/posts/tclarkmedia_im-documenting-how-im-building-my-b2b-content-activity-7227682064706252800-s9HP?utm_source=share&utm_medium=member_desktop
